u0,u1,u2,u3
0.0000207613,0.0000212969,0.0000226755,0.0000221430
0.0000212146,0.0000216941,0.0000230387,0.0000225623
0.0000215438,0.0000220785,0.0000235122,0.0000229806
0.0000219867,0.0000224655,0.0000238642,0.0000233885
0.0000223049,0.0000228387,0.0000243272,0.0000237964
0.0000227377,0.0000232156,0.0000246681,0.0000241931
0.0000230451,0.0000235778,0.0000251206,0.0000245908
0.0000234678,0.0000239448,0.0000254506,0.0000249764
0.0000237645,0.0000242962,0.0000258930,0.0000253641
0.0000241774,0.0000246535,0.0000262122,0.0000257389
0.0000244637,0.0000249942,0.0000266445,0.0000261166
0.0000248669,0.0000253420,0.0000269532,0.0000264806
0.0000251428,0.0000256722,0.0000273755,0.0000268487
0.0000255365,0.0000260107,0.0000276739,0.0000272022
0.0000258023,0.0000263305,0.0000280864,0.0000275606
0.0000261865,0.0000266597,0.0000283745,0.0000279037
0.0000264425,0.0000269694,0.0000287774,0.0000282527
0.0000268174,0.0000272896,0.0000290554,0.0000285856
0.0000271189,0.0000275968,0.0000293955,0.0000289198
0.0000274156,0.0000278991,0.0000297308,0.0000292495
0.0000277094,0.0000281969,0.0000300597,0.0000295743
0.0000279998,0.0000284902,0.0000303826,0.0000298942
0.0000282866,0.0000287791,0.0000306998,0.0000302094
0.0000285697,0.0000290635,0.0000310117,0.0000305198
0.0000288489,0.0000293435,0.0000313183,0.0000308255
0.0000291240,0.0000296191,0.0000316199,0.0000311266
0.0000293951,0.0000298903,0.0000319167,0.0000314232
0.0000296620,0.0000301572,0.0000322087,0.0000317152
0.0000299249,0.0000304198,0.0000324960,0.0000320027
0.0000301836,0.0000306781,0.0000327787,0.0000322858
0.0000304381,0.0000309321,0.0000330569,0.0000325644
0.0000306885,0.0000311820,0.0000333307,0.0000328387
0.0000309348,0.0000314276,0.0000336001,0.0000331087
0.0000311770,0.0000316691,0.0000338651,0.0000333744
0.0000314152,0.0000319065,0.0000341259,0.0000336358
0.0000316493,0.0000321399,0.0000343823,0.0000338930
0.0000318794,0.0000323692,0.0000346346,0.0000341459
0.0000321055,0.0000325945,0.0000348827,0.0000343948
0.0000323277,0.0000328158,0.0000351266,0.0000346395
0.0000325459,0.0000330332,0.0000353664,0.0000348801
0.0000327603,0.0000332467,0.0000356022,0.0000351167
0.0000329708,0.0000334563,0.0000358339,0.0000353492
0.0000331774,0.0000336621,0.0000360617,0.0000355778
0.0000333803,0.0000338641,0.0000362855,0.0000358024
0.0000335795,0.0000340624,0.0000365053,0.0000360231
0.0000337749,0.0000342569,0.0000367212,0.0000362399
0.0000339666,0.0000344477,0.0000369333,0.0000364528
0.0000341547,0.0000346348,0.0000371415,0.0000366619
0.0000343391,0.0000348183,0.0000373460,0.0000368672
0.0000345200,0.0000349982,0.0000375466,0.0000370687
0.0000346973,0.0000351746,0.0000377435,0.0000372665
0.0000348710,0.0000353474,0.0000379367,0.0000374606
0.0000350413,0.0000355167,0.0000381262,0.0000376510
0.0000352081,0.0000356825,0.0000383121,0.0000378377
0.0000353714,0.0000358449,0.0000384943,0.0000380209
0.0000355314,0.0000360039,0.0000386729,0.0000382004
0.0000356880,0.0000361595,0.0000388480,0.0000383764
0.0000358412,0.0000363117,0.0000390195,0.0000385489
0.0000359911,0.0000364606,0.0000391875,0.0000387178
0.0000361377,0.0000366062,0.0000393521,0.0000388833
0.0000362811,0.0000367486,0.0000395131,0.0000390454
0.0000364212,0.0000368877,0.0000396708,0.0000392040
0.0000365582,0.0000370237,0.0000398251,0.0000393592
0.0000366920,0.0000371564,0.0000399760,0.0000395111
0.0000368226,0.0000372860,0.0000401235,0.0000396596
0.0000369501,0.0000374125,0.0000402677,0.0000398048
0.0000370746,0.0000375359,0.0000404087,0.0000399468
0.0000371959,0.0000376562,0.0000405464,0.0000400854
0.0000373143,0.0000377735,0.0000406808,0.0000402209
0.0000374296,0.0000378877,0.0000408120,0.0000403531
0.0000375420,0.0000379990,0.0000409401,0.0000404822
0.0000376514,0.0000381073,0.0000410649,0.0000406081
0.0000377579,0.0000382127,0.0000411867,0.0000407309
0.0000378615,0.0000383152,0.0000413053,0.0000408505
0.0000379622,0.0000384149,0.0000414209,0.0000409671
0.0000380601,0.0000385116,0.0000415334,0.0000410807
0.0000381551,0.0000386056,0.0000416428,0.0000411912
0.0000382474,0.0000386967,0.0000417492,0.0000412987
0.0000383369,0.0000387851,0.0000418527,0.0000414032
0.0000384236,0.0000388707,0.0000419532,0.0000415048
0.0000385076,0.0000389535,0.0000420507,0.0000416034
0.0000385889,0.0000390337,0.0000421453,0.0000416991
0.0000386676,0.0000391112,0.0000422371,0.0000417919
0.0000387436,0.0000391860,0.0000423259,0.0000418819
0.0000388169,0.0000392582,0.0000424119,0.0000419690
0.0000388877,0.0000393278,0.0000424951,0.0000420533
0.0000389559,0.0000393948,0.0000425754,0.0000421348
0.0000390215,0.0000394593,0.0000426530,0.0000422135
0.0000390846,0.0000395212,0.0000427278,0.0000422895
0.0000391452,0.0000395805,0.0000427999,0.0000423627
0.0000392032,0.0000396374,0.0000428692,0.0000424332
0.0000392589,0.0000396918,0.0000429359,0.0000425010
0.0000393120,0.0000397438,0.0000429999,0.0000425661
0.0000393628,0.0000397933,0.0000430612,0.0000426286
0.0000394111,0.0000398404,0.0000431198,0.0000426885
0.0000394571,0.0000398852,0.0000431759,0.0000427457
0.0000395007,0.0000399275,0.0000432294,0.0000428004
0.0000395419,0.0000399675,0.0000432802,0.0000428524
0.0000395809,0.0000400052,0.0000433286,0.0000429020
0.0000396175,0.0000400406,0.0000433743,0.0000429490
0.0000396518,0.0000400737,0.0000434176,0.0000429935
0.0000396839,0.0000401045,0.0000434584,0.0000430354
0.0000397138,0.0000401330,0.0000434967,0.0000430750
0.0000397414,0.0000401594,0.0000435325,0.0000431120
0.0000397668,0.0000401835,0.0000435658,0.0000431467
0.0000397901,0.0000402055,0.0000435968,0.0000431789
0.0000398112,0.0000402253,0.0000436253,0.0000432087
0.0000398301,0.0000402429,0.0000436515,0.0000432361
0.0000398469,0.0000402584,0.0000436753,0.0000432611
0.0000398616,0.0000402717,0.0000436967,0.0000432839
0.0000398742,0.0000402830,0.0000437158,0.0000433042
0.0000398847,0.0000402922,0.0000437326,0.0000433223
0.0000398932,0.0000402994,0.0000437471,0.0000433381
0.0000398997,0.0000403045,0.0000437593,0.0000433516
0.0000399041,0.0000403076,0.0000437692,0.0000433628
0.0000399074,0.0000403089,0.0000437765,0.0000433712
0.0000399068,0.0000403094,0.0000437812,0.0000433784
0.0000399054,0.0000403059,0.0000437850,0.0000433828
0.0000399022,0.0000402992,0.0000437880,0.0000433847
0.0000398960,0.0000402930,0.0000437858,0.0000433861
0.0000398882,0.0000402848,0.0000437812,0.0000433854
0.0000398792,0.0000402737,0.0000437759,0.0000433813
0.0000398689,0.0000402609,0.0000437691,0.0000433739
0.0000398559,0.0000402466,0.0000437593,0.0000433654
0.0000398411,0.0000402305,0.0000437475,0.0000433549
0.0000398244,0.0000402124,0.0000437336,0.0000433423
0.0000398059,0.0000401926,0.0000437176,0.0000433276
0.0000397856,0.0000401709,0.0000436995,0.0000433110
0.0000397635,0.0000401474,0.0000436794,0.0000432922
0.0000397397,0.0000401221,0.0000436573,0.0000432715
0.0000397140,0.0000400950,0.0000436331,0.0000432488
0.0000396867,0.0000400662,0.0000436070,0.0000432241
0.0000396576,0.0000400357,0.0000435789,0.0000431974
0.0000396268,0.0000400034,0.0000435488,0.0000431687
0.0000395943,0.0000399695,0.0000435168,0.0000431381
0.0000395601,0.0000399338,0.0000434828,0.0000431056
0.0000395242,0.0000398965,0.0000434469,0.0000430711
0.0000394867,0.0000398575,0.0000434091,0.0000430348
0.0000394475,0.0000398168,0.0000433693,0.0000429965
0.0000394067,0.0000397745,0.0000433277,0.0000429564
0.0000393643,0.0000397306,0.0000432843,0.0000429144
0.0000393203,0.0000396851,0.0000432390,0.0000428706
0.0000392747,0.0000396380,0.0000431918,0.0000428249
0.0000392275,0.0000395893,0.0000431428,0.0000427774
0.0000391788,0.0000395390,0.0000430920,0.0000427282
0.0000391285,0.0000394872,0.0000430394,0.0000426771
0.0000390767,0.0000394339,0.0000429850,0.0000426242
0.0000390234,0.0000393791,0.0000429289,0.0000425696
0.0000389686,0.0000393227,0.0000428709,0.0000425132
0.0000389123,0.0000392648,0.0000428113,0.0000424550
0.0000388545,0.0000392055,0.0000427499,0.0000423952
0.0000387952,0.0000391446,0.0000426867,0.0000423336
0.0000387345,0.0000390823,0.0000426219,0.0000422704
0.0000386723,0.0000390186,0.0000425554,0.0000422054
0.0000386087,0.0000389535,0.0000424872,0.0000421388
0.0000385437,0.0000388869,0.0000424173,0.0000420705
0.0000384773,0.0000388189,0.0000423458,0.0000420005
0.0000384095,0.0000387495,0.0000422726,0.0000419289
0.0000383404,0.0000386787,0.0000421978,0.0000418557
0.0000382698,0.0000386066,0.0000421214,0.0000417809
0.0000381979,0.0000385331,0.0000420434,0.0000417045
0.0000381247,0.0000384583,0.0000419638,0.0000416265
0.0000380502,0.0000383821,0.0000418826,0.0000415469
0.0000379743,0.0000383046,0.0000417998,0.0000414658
0.0000378971,0.0000382258,0.0000417155,0.0000413831
0.0000378187,0.0000381457,0.0000416297,0.0000412989
0.0000377389,0.0000380643,0.0000415423,0.0000412132
0.0000376171,0.0000379662,0.0000414910,0.0000411383
0.0000375858,0.0000379013,0.0000413529,0.0000410337
0.0000374596,0.0000377999,0.0000413006,0.0000409566
0.0000374244,0.0000377322,0.0000411608,0.0000408493
0.0000372946,0.0000376280,0.0000411067,0.0000407697
0.0000372551,0.0000375572,0.0000409660,0.0000406602
0.0000371225,0.0000374504,0.0000409094,0.0000405778
0.0000370791,0.0000373767,0.0000407672,0.0000404660
0.0000369442,0.0000372675,0.0000407077,0.0000403808
0.0000368975,0.0000371911,0.0000405637,0.0000402665
0.0000367606,0.0000370797,0.0000405011,0.0000401784
0.0000367106,0.0000370006,0.0000403554,0.0000400617
0.0000365719,0.0000368872,0.0000402895,0.0000399707
0.0000365188,0.0000368055,0.0000401419,0.0000398516
0.0000363786,0.0000366901,0.0000400727,0.0000397577
0.0000363225,0.0000366059,0.0000399232,0.0000396362
0.0000361807,0.0000364886,0.0000398508,0.0000395394
0.0000361217,0.0000364020,0.0000396994,0.0000394156
0.0000359785,0.0000362827,0.0000396237,0.0000393160
0.0000359166,0.0000361937,0.0000394705,0.0000391899
0.0000357720,0.0000360727,0.0000393915,0.0000390875
0.0000357073,0.0000359813,0.0000392366,0.0000389592
0.0000355615,0.0000358585,0.0000391544,0.0000388540
0.0000354940,0.0000357649,0.0000389976,0.0000387235
0.0000353470,0.0000356404,0.0000389123,0.0000386155
0.0000352768,0.0000355444,0.0000387539,0.0000384829
0.0000351285,0.0000354183,0.0000386653,0.0000383723
0.0000350557,0.0000353201,0.0000385053,0.0000382376
0.0000349063,0.0000351924,0.0000384137,0.0000381244
0.0000348308,0.0000350921,0.0000382521,0.0000379877
0.0000346804,0.0000349628,0.0000381574,0.0000378718
0.0000346023,0.0000348603,0.0000379943,0.0000377331
0.0000344508,0.0000347296,0.0000378965,0.0000376147
0.0000343702,0.0000346250,0.0000377320,0.0000374741
0.0000342178,0.0000344928,0.0000376312,0.0000373532
0.0000341346,0.0000343861,0.0000374653,0.0000372108
0.0000339813,0.0000342526,0.0000373616,0.0000370874
0.0000338956,0.0000341438,0.0000371943,0.0000369432
0.0000337415,0.0000340090,0.0000370877,0.0000368174
0.0000336534,0.0000338983,0.0000369192,0.0000366714
0.0000334984,0.0000337621,0.0000368097,0.0000365433
0.0000334079,0.0000336495,0.0000366399,0.0000363956
0.0000332522,0.0000335121,0.0000365277,0.0000362651
0.0000331593,0.0000333975,0.0000363567,0.0000361158
0.0000330029,0.0000332590,0.0000362417,0.0000359831
0.0000329077,0.0000331426,0.0000360696,0.0000358322
0.0000327507,0.0000330029,0.0000359519,0.0000356972
0.0000326532,0.0000328847,0.0000357788,0.0000355448
0.0000324956,0.0000327440,0.0000356584,0.0000354076
0.0000323959,0.0000326239,0.0000354843,0.0000352538
0.0000322378,0.0000324822,0.0000353613,0.0000351144
0.0000321358,0.0000323605,0.0000351862,0.0000349592
0.0000319772,0.0000322177,0.0000350606,0.0000348178
0.0000318731,0.0000320943,0.0000348846,0.0000346612
0.0000317141,0.0000319507,0.0000347565,0.0000345177
0.0000316079,0.0000318256,0.0000345797,0.0000343599
0.0000314485,0.0000316811,0.0000344491,0.0000342144
0.0000313402,0.0000315544,0.0000342716,0.0000340553
0.0000311804,0.0000314091,0.0000341385,0.0000339078
0.0000310701,0.0000312808,0.0000339603,0.0000337476
0.0000309101,0.0000311348,0.0000338248,0.0000335982
0.0000307978,0.0000310050,0.0000336459,0.0000334369
0.0000306376,0.0000308583,0.0000335081,0.0000332857
0.0000305233,0.0000307270,0.0000333286,0.0000331232
0.0000303629,0.0000305796,0.0000331886,0.0000329702
0.0000302468,0.0000304469,0.0000330086,0.0000328068
0.0000300863,0.0000302989,0.0000328662,0.0000326520
0.0000299682,0.0000301648,0.0000326857,0.0000324876
0.0000298077,0.0000300163,0.0000325412,0.0000323312
0.0000296878,0.0000298809,0.0000323603,0.0000321659
0.0000295273,0.0000297318,0.0000322137,0.0000320078
0.0000294057,0.0000295951,0.0000320324,0.0000318417
0.0000292451,0.0000294456,0.0000318837,0.0000316820
0.0000291218,0.0000293076,0.0000317021,0.0000315151
0.0000289614,0.0000291577,0.0000315514,0.0000313539
0.0000288364,0.0000290186,0.0000313696,0.0000311863
0.0000286761,0.0000288683,0.0000312168,0.0000310236
0.0000285494,0.0000287280,0.0000310348,0.0000308553
0.0000283894,0.0000285775,0.0000308801,0.0000306912
0.0000282611,0.0000284361,0.0000306980,0.0000305223
0.0000281013,0.0000282853,0.0000305415,0.0000303568
0.0000279715,0.0000281428,0.0000303593,0.0000301873
0.0000278120,0.0000279918,0.0000302009,0.0000300205
0.0000276807,0.0000278483,0.0000300187,0.0000298506
0.0000275216,0.0000276972,0.0000298586,0.0000296824
0.0000273888,0.0000275528,0.0000296764,0.0000295121
0.0000272301,0.0000274016,0.0000295145,0.0000293428
0.0000270960,0.0000272562,0.0000293325,0.0000291720
0.0000269377,0.0000271050,0.0000291690,0.0000290015
0.0000268022,0.0000269587,0.0000289871,0.0000288305
0.0000266445,0.0000268075,0.0000288220,0.0000286589
0.0000265076,0.0000266604,0.0000286404,0.0000284876
0.0000263505,0.0000265093,0.0000284737,0.0000283149
0.0000261960,0.0000263584,0.0000283038,0.0000281416
0.0000260674,0.0000262119,0.0000281151,0.0000279707
0.0000259105,0.0000260609,0.0000279468,0.0000277966
0.0000257561,0.0000259100,0.0000277757,0.0000276221
0.0000256239,0.0000257619,0.0000275893,0.0000274517
0.0000254678,0.0000256112,0.0000274192,0.0000272763
0.0000253140,0.0000254605,0.0000272466,0.0000271006
0.0000251786,0.0000253107,0.0000270624,0.0000269309
0.0000250237,0.0000251605,0.0000268903,0.0000267541
0.0000248707,0.0000250101,0.0000267161,0.0000265774
0.0000247322,0.0000248589,0.0000265342,0.0000264084
0.0000245788,0.0000247094,0.0000263602,0.0000262304
0.0000244268,0.0000245594,0.0000261845,0.0000260528
0.0000242855,0.0000244069,0.0000260050,0.0000258846
0.0000241336,0.0000242581,0.0000258290,0.0000257056
0.0000239828,0.0000241087,0.0000256519,0.0000255272
0.0000238388,0.0000239549,0.0000254748,0.0000253600
0.0000236886,0.0000238069,0.0000252971,0.0000251801
0.0000235391,0.0000236583,0.0000251187,0.0000250009
0.0000233925,0.0000235033,0.0000249442,0.0000248348
0.0000232442,0.0000233564,0.0000247648,0.0000246541
0.0000230961,0.0000232085,0.0000245852,0.0000244744
0.0000229470,0.0000230525,0.0000244134,0.0000243095
0.0000228006,0.0000229066,0.0000242324,0.0000241281
0.0000226540,0.0000227597,0.0000240518,0.0000239480
0.0000225074,0.0000226119,0.0000238715,0.0000237689
0.0000223537,0.0000224514,0.0000237071,0.0000236115
0.0000222103,0.0000223076,0.0000235240,0.0000234289
0.0000220662,0.0000221623,0.0000233420,0.0000232481
0.0000219215,0.0000220160,0.0000231609,0.0000230686
0.0000217629,0.0000218537,0.0000230025,0.0000229140
0.0000216228,0.0000217119,0.0000228174,0.0000227307
0.0000214813,0.0000215685,0.0000226342,0.0000225495
0.0000213388,0.0000214238,0.0000224524,0.0000223699
0.0000211757,0.0000212599,0.0000223000,0.0000222183
0.0000210391,0.0000211203,0.0000221131,0.0000220346
0.0000209004,0.0000209787,0.0000219289,0.0000218533
0.0000207603,0.0000208357,0.0000217467,0.0000216740
0.0000206191,0.0000206917,0.0000215660,0.0000214963
0.0000204438,0.0000205204,0.0000214301,0.0000213565
0.0000203128,0.0000203846,0.0000212405,0.0000211717
0.0000201786,0.0000202462,0.0000210546,0.0000209901
0.0000200423,0.0000201061,0.0000208716,0.0000208109
0.0000198697,0.0000199395,0.0000207333,0.0000206668
0.0000197419,0.0000198057,0.0000205431,0.0000204826
0.0000196106,0.0000196692,0.0000203571,0.0000203018
0.0000194767,0.0000195309,0.0000201744,0.0000201237
0.0000193003,0.0000193634,0.0000200426,0.0000199831
0.0000191763,0.0000192320,0.0000198517,0.0000197995
0.0000190481,0.0000190978,0.0000196656,0.0000196196
0.0000189170,0.0000189616,0.0000194835,0.0000194426
0.0000187369,0.0000187933,0.0000193585,0.0000193059
0.0000186169,0.0000186647,0.0000191669,0.0000191230
0.0000184922,0.0000185330,0.0000189809,0.0000189441
0.0000183243,0.0000183739,0.0000188446,0.0000187990
0.0000182061,0.0000182466,0.0000186539,0.0000186175
0.0000180832,0.0000181163,0.0000184691,0.0000184401
0.0000179140,0.0000179575,0.0000183367,0.0000182976
0.0000177983,0.0000178319,0.0000181467,0.0000181174
0.0000176776,0.0000177033,0.0000179627,0.0000179414
0.0000175071,0.0000175447,0.0000178348,0.0000178017
0.0000173942,0.0000174212,0.0000176451,0.0000176226
0.0000172760,0.0000172946,0.0000174619,0.0000174479
0.0000171044,0.0000171364,0.0000173383,0.0000173110
0.0000169947,0.0000170152,0.0000171489,0.0000171331
0.0000168792,0.0000168907,0.0000169664,0.0000169597
0.0000167067,0.0000167331,0.0000168471,0.0000168256
0.0000166002,0.0000166143,0.0000166581,0.0000166489
0.0000164875,0.0000164921,0.0000164765,0.0000164769
0.0000163143,0.0000163352,0.0000163615,0.0000163457
0.0000162111,0.0000162189,0.0000161729,0.0000161703
0.0000160612,0.0000160762,0.0000160355,0.0000160258
0.0000159591,0.0000159609,0.0000158486,0.0000158521
0.0000158095,0.0000158191,0.0000157135,0.0000157093
0.0000157086,0.0000157049,0.0000155280,0.0000155371
0.0000155590,0.0000155637,0.0000153957,0.0000153964
0.0000154597,0.0000154509,0.0000152113,0.0000152257
0.0000153102,0.0000153105,0.0000150816,0.0000150869
0.0000152129,0.0000151993,0.0000148981,0.0000149174
0.0000150638,0.0000150599,0.0000147709,0.0000147806
0.0000149686,0.0000149503,0.0000145883,0.0000146124
0.0000148199,0.0000148119,0.0000144635,0.0000144774
0.0000147269,0.0000147041,0.0000142817,0.0000143105
0.0000145788,0.0000145667,0.0000141593,0.0000141774
0.0000144881,0.0000144607,0.0000139784,0.0000140118
0.0000143407,0.0000143246,0.0000138584,0.0000138806
0.0000142522,0.0000142203,0.0000136783,0.0000137162
0.0000141055,0.0000140854,0.0000135607,0.0000135870
0.0000140193,0.0000139831,0.0000133815,0.0000134240
0.0000138734,0.0000138494,0.0000132663,0.0000132967
0.0000137896,0.0000137489,0.0000130880,0.0000131351
0.0000136444,0.0000136165,0.0000129753,0.0000130097
0.0000135630,0.0000135179,0.0000127979,0.0000128495
0.0000134187,0.0000133868,0.0000126877,0.0000127261
0.0000133397,0.0000132902,0.0000125113,0.0000125674
0.0000131963,0.0000131604,0.0000124035,0.0000124461
0.0000131197,0.0000130657,0.0000122282,0.0000122888
0.0000129771,0.0000129374,0.0000121229,0.0000121695
0.0000129030,0.0000128446,0.0000119486,0.0000120138
0.0000127614,0.0000127177,0.0000118460,0.0000118966
0.0000126897,0.0000126269,0.0000116727,0.0000117425
0.0000125490,0.0000125014,0.0000115726,0.0000116273
0.0000124798,0.0000124127,0.0000114005,0.0000114748
0.0000123401,0.0000122886,0.0000113030,0.0000113617
0.0000122734,0.0000122019,0.0000111321,0.0000112108
0.0000121348,0.0000120793,0.0000110372,0.0000110999
0.0000120705,0.0000119946,0.0000108675,0.0000109507
0.0000119329,0.0000118735,0.0000107752,0.0000108419
0.0000118712,0.0000117908,0.0000106067,0.0000106944
0.0000117346,0.0000116713,0.0000105171,0.0000105878
0.0000116754,0.0000115906,0.0000103498,0.0000104420
0.0000115399,0.0000114727,0.0000102628,0.0000103376
0.0000114832,0.0000113941,0.0000100969,0.0000101936
0.0000113488,0.0000112777,0.0000100126,0.0000100913
0.0000112947,0.0000112012,0.0000098480,0.0000099491
0.0000111614,0.0000110864,0.0000097664,0.0000098491
0.0000111098,0.0000110119,0.0000096031,0.0000097087
0.0000109777,0.0000108987,0.0000095242,0.0000096108
0.0000109286,0.0000108263,0.0000093623,0.0000094723
0.0000107976,0.0000107148,0.0000092860,0.0000093767
0.0000107510,0.0000106444,0.0000091256,0.0000092401
0.0000106213,0.0000105346,0.0000090520,0.0000091467
0.0000105772,0.0000104662,0.0000088930,0.0000090119
0.0000104487,0.0000103581,0.0000088222,0.0000089208
0.0000104071,0.0000102918,0.0000086647,0.0000087880
0.0000102798,0.0000101853,0.0000085965,0.0000086991
0.0000102408,0.0000101211,0.0000084405,0.0000085682
0.0000101147,0.0000100163,0.0000083751,0.0000084816
0.0000100782,0.0000099542,0.0000082205,0.0000083526
0.0000099534,0.0000098511,0.0000081578,0.0000082682
0.0000099194,0.0000097910,0.0000080048,0.0000081413
0.0000097958,0.0000096897,0.0000079448,0.0000080592
0.0000097236,0.0000096127,0.0000078348,0.0000079539
0.0000096524,0.0000095368,0.0000077258,0.0000078496
0.0000095810,0.0000094613,0.0000076189,0.0000077469
0.0000095096,0.0000093863,0.0000075141,0.0000076457
0.0000094383,0.0000093119,0.0000074111,0.0000075459
0.0000093675,0.0000092381,0.0000073097,0.0000074475
0.0000092972,0.0000091651,0.0000072099,0.0000073504
0.0000092276,0.0000090929,0.0000071114,0.0000072544
0.0000091586,0.0000090215,0.0000070143,0.0000071597
0.0000090903,0.0000089510,0.0000069184,0.0000070662
0.0000090229,0.0000088813,0.0000068237,0.0000069738
0.0000089563,0.0000088126,0.0000067302,0.0000068825
0.0000088905,0.0000087447,0.0000066379,0.0000067923
0.0000088256,0.0000086777,0.0000065468,0.0000067033
0.0000087616,0.0000086116,0.0000064567,0.0000066153
0.0000086985,0.0000085465,0.0000063678,0.0000065284
0.0000086363,0.0000084822,0.0000062800,0.0000064427
0.0000085750,0.0000084189,0.0000061933,0.0000063580
0.0000085146,0.0000083565,0.0000061077,0.0000062744
0.0000084551,0.0000082950,0.0000060232,0.0000061919
0.0000083965,0.0000082344,0.0000059397,0.0000061104
0.0000083388,0.0000081748,0.0000058574,0.0000060301
0.0000082820,0.0000081160,0.0000057761,0.0000059508
0.0000082262,0.0000080582,0.0000056959,0.0000058725
0.0000081712,0.0000080012,0.0000056167,0.0000057954
0.0000081171,0.0000079452,0.0000055387,0.0000057193
0.0000080639,0.0000078900,0.0000054617,0.0000056443
0.0000080116,0.0000078358,0.0000053857,0.0000055703
0.0000079602,0.0000077824,0.0000053109,0.0000054974
0.0000079097,0.0000077299,0.0000052371,0.0000054255
0.0000078601,0.0000076783,0.0000051643,0.0000053547
0.0000078113,0.0000076276,0.0000050926,0.0000052850
0.0000077634,0.0000075778,0.0000050219,0.0000052163
0.0000077164,0.0000075288,0.0000049523,0.0000051486
0.0000076702,0.0000074807,0.0000048838,0.0000050820
0.0000076249,0.0000074335,0.0000048162,0.0000050164
0.0000075804,0.0000073871,0.0000047498,0.0000049518
0.0000075368,0.0000073415,0.0000046843,0.0000048883
0.0000074940,0.0000072968,0.0000046199,0.0000048258
0.0000074521,0.0000072529,0.0000045565,0.0000047643
0.0000074110,0.0000072099,0.0000044941,0.0000047038
0.0000073707,0.0000071677,0.0000044327,0.0000046444
0.0000073312,0.0000071263,0.0000043723,0.0000045859
0.0000072926,0.0000070857,0.0000043130,0.0000045285
0.0000072547,0.0000070460,0.0000042546,0.0000044720
0.0000072177,0.0000070070,0.0000041973,0.0000044166
0.0000071814,0.0000069688,0.0000041409,0.0000043621
0.0000071459,0.0000069314,0.0000040855,0.0000043086
0.0000071112,0.0000068948,0.0000040311,0.0000042561
0.0000070773,0.0000068590,0.0000039777,0.0000042046
0.0000070442,0.0000068240,0.0000039252,0.0000041540
0.0000070118,0.0000067897,0.0000038737,0.0000041044
0.0000069801,0.0000067561,0.0000038232,0.0000040557
0.0000069492,0.0000067233,0.0000037736,0.0000040080
0.0000069190,0.0000066913,0.0000037250,0.0000039612
0.0000068896,0.0000066600,0.0000036773,0.0000039154
0.0000068609,0.0000066294,0.0000036305,0.0000038705
0.0000068329,0.0000065995,0.0000035847,0.0000038265
0.0000068056,0.0000065703,0.0000035397,0.0000037834
0.0000067790,0.0000065419,0.0000034957,0.0000037413
0.0000067531,0.0000065141,0.0000034526,0.0000037000
0.0000067279,0.0000064870,0.0000034104,0.0000036596
0.0000067033,0.0000064606,0.0000033691,0.0000036202
0.0000066794,0.0000064349,0.0000033287,0.0000035816
0.0000066562,0.0000064098,0.0000032892,0.0000035438
0.0000066336,0.0000063854,0.0000032505,0.0000035070
0.0000066117,0.0000063616,0.0000032127,0.0000034710
0.0000065904,0.0000063384,0.0000031757,0.0000034358
0.0000065697,0.0000063159,0.0000031396,0.0000034015
0.0000065496,0.0000062940,0.0000031043,0.0000033681
0.0000065302,0.0000062727,0.0000030699,0.0000033354
0.0000065113,0.0000062520,0.0000030363,0.0000033036
0.0000064930,0.0000062319,0.0000030035,0.0000032726
0.0000064753,0.0000062124,0.0000029715,0.0000032424
0.0000064582,0.0000061935,0.0000029403,0.0000032130
0.0000064416,0.0000061751,0.0000029099,0.0000031844
0.0000064256,0.0000061573,0.0000028803,0.0000031565
0.0000064102,0.0000061400,0.0000028515,0.0000031295
0.0000063952,0.0000061233,0.0000028234,0.0000031032
0.0000063808,0.0000061071,0.0000027961,0.0000030776
0.0000063669,0.0000060914,0.0000027695,0.0000030528
0.0000063535,0.0000060762,0.0000027437,0.0000030287
0.0000063406,0.0000060615,0.0000027186,0.0000030054
0.0000063282,0.0000060473,0.0000026943,0.0000029827
0.0000063162,0.0000060336,0.0000026706,0.0000029608
0.0000063047,0.0000060203,0.0000026477,0.0000029396
0.0000062937,0.0000060076,0.0000026254,0.0000029190
0.0000062831,0.0000059952,0.0000026039,0.0000028992
0.0000062730,0.0000059833,0.0000025830,0.0000028800
0.0000062633,0.0000059719,0.0000025628,0.0000028615
0.0000062540,0.0000059608,0.0000025432,0.0000028436
0.0000062451,0.0000059502,0.0000025243,0.0000028264
0.0000062366,0.0000059399,0.0000025060,0.0000028099
0.0000062285,0.0000059301,0.0000024884,0.0000027939
0.0000062207,0.0000059206,0.0000024714,0.0000027786
0.0000062133,0.0000059116,0.0000024550,0.0000027638
0.0000062063,0.0000059028,0.0000024392,0.0000027497
0.0000061997,0.0000058944,0.0000024240,0.0000027362
0.0000061933,0.0000058864,0.0000024094,0.0000027232
0.0000061873,0.0000058787,0.0000023953,0.0000027108
0.0000061816,0.0000058713,0.0000023818,0.0000026990
0.0000061762,0.0000058642,0.0000023689,0.0000026877
0.0000061712,0.0000058575,0.0000023565,0.0000026769
0.0000061664,0.0000058510,0.0000023447,0.0000026667
0.0000061618,0.0000058448,0.0000023334,0.0000026570
0.0000061576,0.0000058389,0.0000023226,0.0000026478
0.0000061522,0.0000058339,0.0000023122,0.0000026399
